hospital,servico,disponivel,observacao,atualizado_em,fonte
Hospital São Vicente de Paulo,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,UTI Adulto (20 leitos),sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Venâncio Raimundo de Sousa,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital de Messejana Dr. Carlos Alberto Studart Gomes,Cardiologia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital de Saúde Mental Professor Frota Pinto,Psiquiatria,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital de Saúde Mental Professor Frota Pinto,Saúde Mental,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital e Maternidade Dr. Moura Ferreira,Hospital estratégico da Região Acaraú,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital e Maternidade José Martiniano de Alencar,Hospital Geral,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital e Maternidade Madalena Nunes,Serviço de Alta Complexidade de Traumato Ortopedia,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital e Maternidade Madalena Nunes,UNACON,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital e Maternidade Madalena Nunes,UTI Pediátrica,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Maternidade Escola Assis Chateaubriand,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Maternidade Escola Assis Chateaubriand,Cirurgia Ginecológica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
